Symbol	Description
1A0.SI	Katrina
1A1.SI	Wong Fong Ind
1AZ.SI	Audience
1B0.SI	MM2 Asia
1B1.SI	HC Surgical
1B6.SI	Ocean Sky Intl
1C0.SI	ETC Singapore
1D0.SI	Kimly
1D1.SI	UnUsUaL
1D3.SI	Autagco
1D4.SI	Aoxin Q & M
1D5.SI	Capital World
1E3.SI	Sanli Env
1F0.SI	Shopper360
1F1.SI	Y Ventures
1F2.SI	Union Gas
1F3.SI	Aspen
1H2.SI	Olive Tree
1H3.SI	Clearbridge
1H8.SI	LY Corp
1J4.SI	JEP
1J5.SI	Hyphens Pharma
1J7.SI	Jawala
1L2.SI	Hiap Seng Ind
1MZ.SI	NamCheong
1P8W.SI	HSTECH 7xShortUB280229
1R6.SI	Avi-Tech Hldg
1U8.SI	RichCapital
1V3.SI	Mooreast
1W2W.SI	CLIFE MBeCW261005
1Y1.SI	9R
40B.SI	HealthBank
40F.SI	Alita Resources
40N.SI	Versalink
40T.SI	ISEC
40V.SI	Alset
40W.SI	ZICO Hldgs
41B.SI	Huationg Global
41F.SI	GSS Energy
41H.SI	BlackGoldNatural
41O.SI	LHN
41T.SI	GCCP
42C.SI	IX Biopharma
42E.SI	Choo Chiang
42F.SI	Totm Tech
42L.SI	Taka Jewellery
42N.SI	IPS Securex
42R.SI	Jumbo
42S.SI	Astaka
42T.SI	Trendlines
42W.SI	Zixin
42Z.SI	Eindec
43A.SI	OCTOPUS
43B.SI	Secura
43E.SI	VCPlus
43F.SI	AcroMeta
43Q.SI	Advancer Global
44BW.SI	Micron 3xLongSG280913
46CW.SI	Zixin W260623
47KW.SI	HSBC 5xShortUB270730
48QW.SI	HSCEI 7xShortSG261105
49B.SI	AMOS Group
500.SI	Tai Sin Electric
504.SI	HS Optimus
505.SI	AsiaMedic
508.SI	Fuji Offset
50SW.SI	HSI 7xLongUB280331
51O.SI	MSMIntl
532.SI	DISA
533.SI	ABR
53W.SI	Attika Group
